Candidate,Average Percent
Andrew Yang,2.66734693877551
Kamala Harris,4.606122448979591
Bernie Sanders,16.585714285714285
Mike Bloomberg,3.4642857142857144
Joe Biden,28.224489795918366
Pete Buttigieg,7.506122448979592
Elizabeth Warren,20.448979591836736
Tulsi Gabbard,1.346938775510204
