,Pageviews Over 1 Month (per 100k),Google Trends Mean over 1 Month,Three Month Mean,Average Polling Percentage,Twitter Followers_x
Pageviews Over 1 Month (per 100k),1.0,0.5902318705121854,0.5117760197612418,-0.10304038842101926,-0.011394028997295946
Google Trends Mean over 1 Month,0.5902318705121854,1.0,0.5559918882068556,0.588416913922839,0.613052152333975
Three Month Mean,0.5117760197612418,0.5559918882068556,1.0,0.5825304301692095,-0.09423589854047465
Average Polling Percentage,-0.10304038842101926,0.588416913922839,0.5825304301692095,1.0,0.5280276155628879
Twitter Followers_x,-0.011394028997295946,0.613052152333975,-0.09423589854047465,0.5280276155628879,1.0
