Democrat,Democrat Percent,Trump Percent
Andrew Yang,51.5,48.5
Kamala Harris,49.46153846153846,41.69230769230769
Bernie Sanders,50.30000000000001,43.55714285714286
Mike Bloomberg,47.75,39.25
Joe Biden,51.29756097560975,42.09024390243902
Pete Buttigieg,46.78333333333333,43.833333333333336
Elizabeth Warren,48.65666666666666,44.04666666666667
